HGCZ_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
42993,559995,135268,24.10.17,14.08.18
40545,464820,100719,27.10.17,13.04.18
50471,409454,103234,27.10.17,15.06.18
44625,602105,169804,29.01.18,26.04.18
30864,477761,88824,24.04.18,03.05.18
42610,482892,88241,24.04.18,19.06.18
31934,469110,94289,24.04.18,27.07.18
31933,480549,87471,06.09.16,09.05.18
39742,437599,102788,30.04.18,28.06.18
40295,453637,94640,09.05.18,17.05.18
65410,454570,101825,17.05.18,05.07.18
70691,453797,94475,17.05.18,19.06.18
30836,470706,94551,29.05.18,30.05.18
30836,470706,94551,29.05.18,20.07.18
68263,526981,122351,12.07.17,29.05.18
68750,478313,62938,08.06.18,28.09.18
35439,481483,149481,20.06.18,30.10.18
30508,485635,147798,20.06.18,30.10.18
48272,458129,105247,05.07.18,26.07.19
30133,472743,106062,05.07.18,16.10.18
38771,471433,91942,05.07.18,17.07.18
41434,478105,75146,06.07.18,12.10.18
38554,478334,75088,06.07.18,12.10.18
44925,477369,75241,06.07.18,12.10.18
72138,495004,159001,05.07.18,19.10.18
65680,477805,75065,17.07.18,12.10.18
50605,478089,75235,17.07.18,12.10.18
72148,478088,75259,17.07.18,12.10.18
47441,479851,62436,23.07.18,28.09.18
31352,479733,105964,23.07.18,17.05.19
53373,477837,75732,25.07.18,15.10.18
43045,479029,74203,25.07.18,15.10.18
72234,477690,75439,25.07.18,11.06.19
40245,477211,77492,25.07.18,11.06.19
48958,494650,49634,25.07.18,16.10.18
47071,478017,78214,27.07.18,15.10.18
35263,472758,106098,27.07.18,16.10.18
69177,473113,105577,27.07.18,16.10.18
37955,485890,144851,24.07.18,29.10.18
30450,485312,147656,24.07.18,30.10.18
40402,493300,160132,25.07.18,19.10.18
42530,492568,160438,25.07.18,19.10.18
32767,493487,158540,25.07.18,19.10.18
41443,457878,103823,02.08.18,18.06.19
32920,479569,63152,26.07.18,28.09.18
57850,474726,105711,31.07.18,17.05.19
41162,474230,103985,06.08.18,15.05.19
46487,473970,105436,06.08.18,16.10.18
40721,488046,147897,17.08.18,29.10.18
45427,486118,144898,17.08.18,29.10.18
56984,473388,108462,17.08.18,18.06.19
72295,482018,149187,20.07.18,29.10.18
62313,493431,156306,20.08.18,04.10.18
30999,492361,50278,20.08.18,16.10.18
42558,556024,120689,31.07.18,08.10.18
33010,558730,119427,10.08.18,08.10.18
49883,559505,122090,13.08.18,26.10.18
56986,559510,122090,13.08.18,26.10.18
43024,557958,121361,13.08.18,12.11.18
32848,493306,156362,23.08.18,04.10.18
46865,479629,107154,30.08.18,22.05.19
46185,489545,147159,07.09.18,06.05.19
40443,489743,147113,07.09.18,06.05.19
35031,478617,78159,07.09.18,19.09.19
61939,472547,103700,07.09.18,07.06.19
69429,496117,161984,14.09.18,15.10.18
72640,476994,78327,21.09.18,19.06.19
62366,455231,101579,28.09.18,12.08.19
72641,494639,159301,04.09.18,29.10.18
32189,465838,113634,18.10.18,14.06.19
32190,466659,113537,26.10.18,15.07.20
54633,558015,122011,08.08.18,08.10.18
43024,557958,121361,10.10.18,12.11.18
43024,557958,121361,13.08.18,12.11.18
43024,557958,121361,13.08.18,12.11.18
43024,557958,121361,13.08.18,12.11.18
72770,412280,41521,22.03.19,28.05.19
64662,411129,40004,22.03.19,21.05.19
61260,536048,100704,09.04.19,24.07.19
48312,466255,113494,26.04.19,26.06.20
32185,466255,113494,26.04.19,19.06.20
32193,466255,113494,26.04.19,19.06.20
