LOKACIJA_IZH,Y,X,LOKACIJA_DEST,Y_DEST,X_DEST,DATE_MOVE
31675,591531,159091,31754,586875,151460,12.06.20
31675,591531,159091,31755,586907,151444,05.06.19
31675,591531,159091,31755,586907,151444,18.05.20
31409,586664,160024,31770,590771,153308,26.04.14
43055,454826,123255,31772,589773,151403,18.04.20
41950,598791,175311,31781,495945,136479,25.04.15
73463,562896,174866,32600,579814,165553,24.05.19
36422,544934,151171,32600,579814,165553,05.07.18
36422,544934,151171,32600,579814,165553,09.07.19
36422,544934,151171,32600,579814,165553,16.07.20
73410,564326,175123,32605,576999,165227,08.05.19
67508,545479,162568,32605,576999,165227,11.07.17
67508,545479,162568,32605,576999,165227,11.07.17
66209,570591,172003,32605,576999,165227,16.05.17
37262,544128,162333,32605,576999,165227,05.07.18
37262,544128,162333,32605,576999,165227,19.07.19
37262,544128,162333,32605,576999,165227,18.07.20
37262,544128,162333,32605,576999,165227,19.07.21
48351,544054,115726,32621,548585,130480,28.03.20
30801,576885,149148,32621,548585,130480,25.03.16
67563,398110,112291,32629,545634,132054,09.07.17
46223,524739,141858,32640,505642,132877,28.05.15
46257,515643,44866,30569,513888,42252,08.04.20
54790,434277,137928,30633,512813,53403,03.10.16
31833,517256,115066,31832,517023,112040,15.04.12
31833,517256,115066,31832,517023,112040,13.06.12
31833,517256,115066,31832,517023,112040,18.12.18
31340,517573,133499,31832,517023,112040,26.04.19
70393,596917,163347,31833,517256,115066,02.06.18
41242,515119,114238,31833,517256,115066,14.04.16
31832,517023,112040,31833,517256,115066,17.09.15
32083,509185,70730,31842,534119,89293,08.04.17
71074,518369,161778,31849,586528,171168,28.07.18
66884,518369,161778,31849,586528,171168,29.07.17
30509,578186,140100,31874,576551,138772,26.03.17
72218,453375,90869,31883,447995,124114,20.08.18
59302,386990,94238,31883,447995,124114,15.06.15
55915,386990,94238,31883,447995,124114,11.05.14
72915,512680,67938,31890,574257,163275,02.04.21
57678,540796,161329,31892,578665,154239,12.08.14
78548,543337,80516,32926,475800,69419,03.09.20
46487,473970,105436,32931,475072,69145,11.05.17
60593,400532,114421,32947,482578,63829,29.06.15
79852,400986,84188,32949,472513,68256,17.05.21
77384,400986,84188,32949,472513,68256,08.06.20
77384,400986,84188,32949,472513,68256,08.06.20
48961,562215,169795,32983,581332,189724,17.04.20
56294,582000,174403,30636,469386,117571,05.05.14
32122,466880,121920,30651,471020,114218,20.04.17
81074,480959,104034,30658,473151,110406,28.07.21
75022,478756,104405,30658,473151,110406,12.07.19
71373,478755,104404,30658,473151,110406,02.07.18
66344,523590,87275,30658,473151,110406,17.08.17
62902,401983,82265,30668,471033,107323,27.05.16
59924,505070,136136,30685,479113,121090,20.04.20
32326,596054,169472,30685,479113,121090,02.04.21
32569,433241,106745,30697,555306,100006,26.04.21
56203,402355,87027,30698,486308,128993,22.05.14
72059,425290,78681,30706,416164,75899,22.08.18
30717,511799,128074,30710,506295,118576,15.05.20
71534,398623,112840,31911,394645,91009,21.08.18
68112,398623,112840,31911,394645,91009,06.09.17
64494,398623,112840,31911,394645,91009,08.08.16
54317,398623,112840,31911,394645,91009,09.08.13
59581,399059,83480,31915,547675,94716,18.05.15
59581,399059,83480,31915,547675,94716,03.11.15
56998,459206,85457,31915,547675,94716,04.11.14
55002,462558,96919,31915,547675,94716,09.10.13
63087,399959,84957,31916,552710,94532,21.05.16
59583,399059,83480,31916,552710,94532,18.05.15
59579,399959,84957,31916,552710,94532,18.05.15
58120,464444,94452,31916,552710,94532,04.11.14
56189,399959,84957,31916,552710,94532,20.05.14
31921,529015,81911,31916,552710,94532,08.10.20
31921,529015,81911,31916,552710,94532,02.05.20
79107,481058,66778,31921,529015,81911,04.09.20
68511,464444,94452,31921,529015,81911,21.09.17
74210,413255,76345,31939,396104,91267,30.05.19
