CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
50001,417957,83125,22.03.12,
50003,528910,128695,22.03.12,04.09.20
50011,601893,158459,22.03.12,
50017,503388,68311,23.03.12,06.11.13
50021,503646,67654,26.03.12,09.07.14
50033,541354,157487,28.03.12,
50041,611202,160055,29.03.12,
50063,448145,119111,05.04.12,15.10.15
50045,519983,61839,29.03.12,
50047,398193,84210,29.03.12,
50053,471516,84814,04.04.12,
50056,471470,84829,04.04.12,03.12.19
50071,582430,166208,06.04.12,
50072,579800,165557,06.04.12,
50073,578833,168301,06.04.12,24.10.16
50074,580674,164603,06.04.12,
50075,580674,164603,06.04.12,
50076,579471,167964,06.04.12,
50079,578713,165716,10.04.12,31.08.16
50081,605855,158161,10.04.12,
50091,578833,168301,11.04.12,
50117,440113,102502,13.04.12,
50121,455278,90518,13.04.12,
50131,483221,82391,16.04.12,
50133,436862,84609,16.04.12,
50151,424423,95786,17.04.12,
50167,401926,49040,19.04.12,
50197,413223,76216,25.04.12,05.07.13
50205,459397,100220,26.04.12,
50206,459397,100220,26.04.12,
50207,459397,100220,26.04.12,
50215,502512,67988,03.05.12,
50219,400004,116465,03.05.12,28.02.20
50221,397159,88174,04.05.12,
50226,503118,67241,04.05.12,
50235,413127,84969,04.05.12,
50239,484765,90837,07.05.12,
50240,484765,90837,07.05.12,
50242,603641,161462,07.05.12,
50243,469808,115646,07.05.12,26.06.14
50249,459165,125147,08.05.12,
50275,456065,96399,15.05.12,17.05.18
50284,503677,122602,16.05.12,31.03.17
50305,592334,159107,30.05.12,03.07.15
50312,589575,185776,30.05.12,
50319,545848,156159,30.05.12,04.12.20
50323,557654,145374,31.05.12,
50326,499178,139667,31.05.12,
50330,590752,185175,01.06.12,
50341,480144,110025,01.06.12,
50347,434850,55896,04.06.12,
50348,434850,55896,04.06.12,
50361,424254,137396,07.06.12,
50365,439775,119284,07.06.12,
50371,401642,42988,11.06.12,
50396,547051,130180,13.06.12,24.02.16
50397,606723,156731,14.06.12,
50399,548405,136583,14.06.12,09.09.16
50412,445798,96657,15.06.12,
50413,536052,134718,15.06.12,
50417,504873,68505,15.06.12,
50419,600153,178888,15.06.12,
50430,400615,79113,18.06.12,
50434,545385,112690,18.06.12,15.10.13
50436,545385,112690,18.06.12,15.10.13
50457,454826,123255,26.06.12,
50465,534235,90381,26.06.12,
50466,422723,45836,26.06.12,
50481,464856,124313,27.06.12,14.05.15
50482,447630,118941,27.06.12,
50483,448777,118870,27.06.12,21.09.16
50486,541601,82335,27.06.12,
50491,485936,89884,27.06.12,
50492,488366,56105,27.06.12,18.06.20
50503,529521,156075,28.06.12,14.11.14
50509,406863,105834,29.06.12,04.08.21
50525,545216,134396,03.07.12,03.03.20
50527,404924,75804,03.07.12,
50535,416276,58189,06.07.12,30.03.17
50536,415730,50531,06.07.12,
50537,415730,50531,06.07.12,
50542,521028,107658,06.07.12,
50570,574721,169064,12.07.12,30.01.18
50616,416227,35652,17.07.12,02.07.13
50621,450353,112170,18.07.12,
50649,596444,143122,23.07.12,05.06.13
50650,572396,146248,23.07.12,06.07.15
50653,442748,80156,24.07.12,17.02.17
50658,563465,136934,25.07.12,
50671,484292,83084,30.07.12,
50678,597988,156493,31.07.12,
50681,391157,100004,01.08.12,24.08.17
50683,601180,155950,01.08.12,
50684,601191,155964,01.08.12,
50685,601191,155964,01.08.12,
50690,446195,78524,03.08.12,12.09.16
50699,603834,161657,06.08.12,
50733,589341,166482,21.08.12,
50739,431407,75923,21.08.12,
50743,422976,82856,22.08.12,
50754,466668,101271,22.08.12,25.10.18
50897,462048,62568,29.08.12,17.02.16
50909,464362,121892,05.09.12,07.12.20
50917,524837,77231,06.09.12,
50944,480364,100961,19.09.12,
50945,480364,100961,19.09.12,
50951,395027,83529,19.09.12,09.05.19
50965,546060,151423,25.09.12,
50967,538539,141548,28.09.12,
50994,479813,96451,10.10.12,
50999,448168,120327,11.10.12,24.03.16
51000,448168,120327,11.10.12,
51001,448168,120327,11.10.12,
51002,448168,120327,11.10.12,
51003,448168,120327,11.10.12,
51013,400038,116256,17.10.12,09.07.15
55325,414452,84563,22.11.13,
55333,422244,48821,25.11.13,
55341,477289,69389,26.11.13,
55355,483851,112790,04.12.13,18.12.20
55356,479118,121090,04.12.13,
55358,479118,121090,04.12.13,
55364,433102,48626,04.12.13,
53205,412024,79193,06.11.12,
53209,597160,177195,06.11.12,
53213,588522,179798,07.11.12,
53218,411006,48217,13.11.12,07.05.15
53220,458002,100224,19.11.12,
53224,545474,169850,26.11.12,07.12.20
53239,445223,77140,18.12.12,
53259,439955,116363,15.01.13,05.04.17
53267,578829,135454,16.01.13,
53271,462393,95762,17.01.13,
53287,440686,100925,18.01.13,
53289,390217,96123,22.01.13,09.03.20
53299,451469,104863,29.01.13,24.07.20
53307,485592,90353,30.01.13,
53317,586007,179833,05.02.13,
53325,526138,131465,05.02.13,14.04.14
53343,437963,114239,11.02.13,
53347,403341,43489,11.02.13,24.08.16
53348,415037,84104,11.02.13,
53350,434840,135941,26.02.13,
53351,430715,135921,26.02.13,
53354,587175,176900,26.02.13,
53359,615719,151863,27.02.13,
53363,476481,80343,27.02.13,
53364,579097,181679,27.02.13,
53369,405751,80664,27.02.13,
53383,423256,57919,27.02.13,21.12.20
53386,474759,80200,27.02.13,
53388,421616,89990,27.02.13,
53389,417392,82591,27.02.13,15.10.15
53390,448145,119111,27.02.13,15.10.15
53391,434237,71254,27.02.13,
53393,472566,105497,27.02.13,
53404,529527,156027,04.03.13,
53411,458052,94845,05.03.13,
53423,554599,88953,06.03.13,
53427,578208,159609,07.03.13,05.02.16
53433,399232,82899,08.03.13,
53435,408858,68825,08.03.13,11.06.20
